mm,phi,AVA001,AVA002,AVA003,AVA004,AVA005,AVA006,AVA001_acum,AVA002_acum,AVA003_acum,AVA004_acum,AVA005_acum,AVA006_acum
8,-3,0,0,0,0,0,0,0,0,0,0,0,0
4,-2,1.1007154650522841,20.481494789795185,1.1134676564156947,0.006791171477079796,5.449591280653951,31.303472571716156,1.1007154650522841,20.481494789795185,1.1134676564156947,0.006791171477079796,5.449591280653951,31.303472571716156
2,-1,0.0825536598789213,0,0.10604453870625664,0.027164685908319185,0.10380173867912289,33.21590337191746,1.1832691249312055,20.481494789795185,1.2195121951219514,0.03395585738539898,5.553393019333074,64.51937594363362
0.5,1,6.962025316455697,9.198706431908013,5.090137857900319,0.4176570458404075,3.0881017257039054,27.12632108706593,8.145294441386902,29.6802012217032,6.3096500530222706,0.4516129032258065,8.64149474503698,91.64569703069955
0.25,2,54.2377545404513,44.30470715055695,47.790738776952985,85.33106960950764,44.829375892046194,4.479114242576749,62.3830489818382,73.98490837226015,54.10038882997525,85.78268251273344,53.47087063708317,96.1248112732763
0.125,3,36.59878921298845,24.991016888250087,43.03640862495582,13.259762308998301,44.89425197872064,3.522898842476095,98.98183819482665,98.97592526051024,97.13679745493107,99.04244482173175,98.36512261580381,99.64771011575239
0.063,4,1.0181618051733627,1.0240747394897591,2.863202545068929,0.9575551782682512,1.6348773841961852,0.35228988424760943,100.00000000000001,100,100,100,100,100
