Año,Transecto 1,Transecto 2,Transecto 3,Transecto 4,Transecto 5,Transecto 6,Transecto 7,Transecto 8
2014,1.5365656732648691,1.1682366718734745,2.111070240733323,-0.41685682667210955,1.5439276645785291,0.9219682781225398,1.2392035137317263,1.400055738987235
2015,-5.151842841464063,-7.9133080786376055,-6.662578903470898,-10.556143566066858,-12.19123209888529,-10.218999032953786,-12.33208432178601,-9.811174886103707
2016,4.6143658529836244,4.417478933875445,-0.8479094553505755,-1.0479197109645055,-2.339524300437165,0.8923548272536874,2.4675588513258826,-1.0746342277955057
2017,-2.148067591676133,-0.4783893063495501,2.655524964204863,1.0375638657107513,3.188715628959698,3.424324848604095,4.469012396139566,6.632988052343872
2018,-0.8752893334528036,-4.063201970069823,-3.816466571336381,-2.337838760832655,-2.1856853866313175,-5.286881468269628,-6.88068184040136,-3.7450200103327913
2019,0.9500416473007887,4.444365439976135,2.1192064909464614,5.6667740042372055,2.1692682879309237,-0.3743235168090128,3.2295009612444736,2.484633860970474
2020,4.169054441441355,3.805194759703671,4.073002479899282,9.543715876489928,9.237550728098745,6.233611370027418,4.888456192744595,6.830604100632287
2021,7.228177355415509,4.872209084380014,-1.7316442253574031,-5.548319509448408,-4.890414610354137,-1.752349039024116,-2.674670357038355,-2.048160629265161
