Año,Transecto 1,Transecto 2,Transecto 3,Transecto 4,Transecto 5,Transecto 6,Transecto 7,Transecto 8,Transecto 9,Transecto 10,Transecto 11,Transecto 12
1991,-0.25846588903875123,8.753646913434142,7.351282666506966,0.5091163942741996,13.085471226837202,4.368078021395234,5.641904803354431,7.502157166441384,5.189407444725083,14.1857649759058,7.382226771222925,3.133997756299204
1992,-2.2167771142220083,-1.2708484219633445,0.5421136893858964,-2.5594327972867834,0.7179077235361131,-2.838485672668856,-4.927607751028388,-0.19698730184896718,-0.20921239804129277,1.248106172768118,1.5276565503477721,-2.694456617719687
1993,-2.7026791914949513,-3.356170350948304,-0.8576267178953003,-3.6187606047832563,-2.288376915449441,-4.822845352175422,-6.527184060587451,-2.2542685984259663,-2.268075724169159,-1.3447990670756198,-0.5949174313091667,-3.1735368465429517
1994,-2.7028133162077097,-3.355446509561441,-0.8546200015219156,-3.6181256914669895,-2.2849675403219285,-4.823832107692705,-6.5275309210689025,-2.2519997675569687,-2.265876252393511,-1.3453891501235056,-0.5961718988345064,-3.173424283497834
1995,-2.6974670528532982,-3.3540275550339356,-0.8576482450500595,-3.6151122453336093,-2.282889022445124,-4.820556203602452,-6.524010484314468,-2.258124518503814,-2.2683572536393606,-1.3424943724735563,-0.5896312428746544,-3.176025730854509
1996,-2.710936819367454,-3.3654280921332287,-2.6462837727986557,-1.5133980582806714,-3.182954882887067,-2.773407574755705,-3.399787124751761,-9.97795754711789,-4.305508440007623,-2.488946842313476,-0.5977986426031334,-3.1818107394516684
1997,-1.453608422857247,3.2517411048453724,-5.211105545143811,2.516991660708001,-4.59550035392907,0.5925189065608194,1.7135853435415065,-19.01149604143619,-12.340229198497676,-4.351333779583962,-2.897249343694058,1.2155188597100768
1998,0.4059223338290323,-1.009693545728691,-4.743514809904173,5.278921616226274,-7.992285843140337,-5.961449398383472,-7.521987156913376,15.617112605258344,8.03615717066834,-3.6033246490025572,-3.105991465397382,6.34696058210873
1999,0.9833279026964057,1.3077962799615914,-17.2693153179745,-4.9002070803210565,-10.833541103924336,-3.933620500358817,-9.546787506005412,-15.097893336053856,-9.949910685085214,-11.49740936082002,-11.17784346372062,-1.8683598404483408
2000,0.25074846249436433,-1.5056986506651189,16.083621709441957,4.355340861849738,10.109851824781469,-1.9797867362329136,9.941433347335998,4.271363540598415,-2.746320420099668,17.30079475900662,20.57479527081194,-5.4836982349651135
2001,-1.5316117839186454,5.6546972923514796,2.935372889513488,2.820049149610634,NA,0.4947305621310605,5.883821201344226,3.0781520487625222,-1.73060865840878,-0.13918954178507192,-1.6628289725251468,-4.659497657839465
2002,-3.343613925631889,7.7141778147830395,4.006738010826961,1.89664361428005,NA,2.184774525601309,6.338371998616594,2.8248575574316597,-1.0546710457280106,-3.840252909172496,-3.5440609515474417,-0.8969504871714147
2003,-3.3333445431146984,7.717995859841162,4.007477548209966,1.900609905170903,NA,2.187072063255222,6.340843282071945,2.8260577617686753,-1.0537281445315152,-3.833836641181631,-3.5328149773948834,-0.9017173118334387
2004,-3.348136983633065,7.736639037574292,4.017000296898074,1.9033317878175362,NA,2.1920794863532294,6.35705211631098,2.8324604937516877,-1.0577584430846159,-3.8473409768227724,-3.548071758369992,-0.9015821213708364
2005,-3.341941377159408,7.7150101543280805,4.0077088236837355,1.8974935300711788,NA,2.1848773712408587,6.33868106566621,2.825698840146744,-1.0538887699297845,-3.839338111278964,-3.5425535793209226,-0.8977349922511593
2006,-3.3340044211543685,7.717499034545657,4.0064516769110226,1.9001534986582156,NA,2.187238294725937,6.340770854205716,2.8252413784256403,-1.0545029784882658,-3.834099140215744,-3.5332154618537537,-0.9014540344915147
2007,-3.3878059940186844,7.560168994061108,4.165370904410958,1.929653066285058,NA,2.148167643147193,6.338796608782959,2.93790797015383,-0.9417079429302859,-3.7878167689610223,-3.563317366511681,-0.8981748838745531
2008,-7.091873032055773,-4.589861092277488,2.0904507442892566,0.884970503839617,NA,0.8071066193409742,2.664172494013485,1.4978289135740588,-0.13657305491381777,-1.5205735508248424,-5.384341161540021,-0.9016642074047319
2009,-9.529765242225146,-13.162195417422854,NA,NA,NA,NA,NA,NA,NA,NA,-6.4690952232176855,-0.7418962467212964
